Salle;Adresse;Ville;Numéro de téléphone;Email
L'Avenir Sportif Oued Ellil;Oued Ellil ;Manouba;+216 28 54 99 29 ;asoe.sportive@gmail.com
L'équipe féminine de bouhajla;Stade Municipal Bouhajla  ;Kairouan;+216 51 79 25 95 ;null
L'Espoir sportif du Cap Bon;Salle couverte  ;Nabeul;+216 20 53 47 00 ;wafa.bettaieb@yahoo.fr
L'Olympe Gym;Boulevard Taieb M'Hiri, Résidence l'Elysée ;Sousse;+216 73 226 146 - 58 350 237 ;null
L'olympe Gym Carthage;Jardins de Carthage ;Tunis;+216 58 35 02 28 ;olympe.gym.tunis@gmail.com
L'Usine Monastir;Hôtel Royal Thalassa Route touristique Skanès En face de l'Aéroport international de Monastir Habib-Bourguiba ;Monastir;+216 73 52 44 68 ;reception.lusine@thalassa-hotels.com
La 5 ème avenue;Centre ville en face du Ministère de Tourisme ;Tunis;+216 93 12 11 82 ;wissemgloire@gmail.com
La Piscine;110 Rue Montreal Cité Olympique Sidi Abouloubaba ;Gabès;+216 75 39 25 70 ;lapiscine.gabes@gmail.com
La Tour de Bizerte des échecs;Maison des Jeunes El Kharaz ;Bizerte;+216 22 87 76 00 ;latourdebizerte@gmail.com
Ladies First ;Complexe Evrest cité Ennasr 1 ;Ariana;+216 92 05 53 91 ;ladiesfirst.officiel@gmail.com
Ladies Gym;MARSA CENTER, 17 Avenue Ali Belhouane ;Tunis;+216 71 74 67 42 ;ladiesgymlamarsa@gmail.com
Lady's Club;46, Avenue Hassen Belkhouja, Cité El Ghazela ;Ariana;+216 71 76 33 12 ;ladysclub.ghazela@gmail.com
Lady's First;Centre ville ;Béja;+216  90 57 06 12 ;raniabenfrija16@gmail.com
LAKE CLUB;Les berge du lac ;Tunis;+216 71 655 320 ;slimktari95@yahoo.com
Lavida fitness club Teboulbou;Rue mansour guadri ;Gabès;+216 75 39 93 70 ;lavida.fitness.club@gmail.com
Le Club de Gammarth;Zone touristique Cap Gammarth ;Tunis;+216 71 91 22 12 ;comm.leclubgammarth@gmail.com
Le Club Nautique - Sidi Bou Said;Port de Plaisance Sidi Bou Saïd ;Tunis;+216 71 74 03 81 / 29 59 60 70 ;null
Le Haras du Golfe;Km63 GP1 en face de Jinen ;Hammamet;+216 98 60 46 76 / 55 60 46 76 ;bensalah.hafedh@gmail.com
Le Monde du Fitness; Avenue de la Libération ;Hammamet;+216 20 33 20 65 ;null
Legend's Fitness & Spa;Rue Habib Bourguiba, en face du Rond Point El Hmema ;Ksar Helal;+216 73 54 70 60 ;legendfitnessspa@gmail.com
Lemsi center - infinty CLUB;Cité el ghazela  ;Ariana;+216 25 43 52 22 ;null
Les champions de l'avenir Touza;Touza ;Monastir;+216 95 65 21 77 ;null
Les Colombes Sportives Manouba;Rue El Hedhi Chaker  ;Manouba;+216 28 66 65 10 ;chennaouihedi6@gmail.com
Les Lions sportifs de la Soukra;La Soukra ;Ariana;+216 92 93 10 68 ;walidbs_saidi@hotmail.com
Les Trois Colombes;Salle de sport école privée Aladin à côté de carrefour Mégrine ;Megrine;+216 58 094 185 ;null
Liberty Gym;Cité Salem 2 ;Kasserine;+216  20 05 40 20 ;libertgym20@gmail.com
Lumière Sportive de Masjed Aissa;Masjed Aissa ;Monastir;+216 94 29 67 76 ;bensalem028@gmail.com
Lyon Sport;18 Av de Lyon ;Tunis;+216 71 341 454 / 71 596 053 ;null
M Club;Route Lafrane ;Sfax;+216 74 21 76 00 ;contact@mclub.tn
M'SAKEN TENNIS CLUB;@ ;Msaken;+216 73 312 700 ;tennismsaken@gmail.com
Madisson Club;Avenue de L’indépendance ;Manouba;+216 55 58 88 40 ;null
MAG'S GYM;22 Rue Abedrahmen Mami, Borj louzir ;Ariana;+216 70 68 84 52 ;null
"MAGIC DANCE CLUB ""MDC""";Avenue principale (Complex BAB AL BOUHAIRA), Les Berges Du Lac ;Tunis;+216 71 655 357 ;contact@mdc-tn.com
Mahdia Gym;Rue Rakada ;Mahdia;+216 99 68 82 20 ;null
Maracana CLUB;Route Tunis, Métouia ;Gabès;+216 22 75 88 58 ;null
Maram Fitness Centre;Rue Ezzahr cite el Basatine, derrière l'école l'excellence ;Monastir;+216 73 46 15 00 ;null
Marsa Gymnastics Academy;Zone industrielle Sidi Daoued, La Marsa ;Tunis;+216 53 49 83 26 ;monamano216@gmail.com
Matrix Gym;A coté de dinasty ;Kairouan;+216 28 46 66 01 ;matrix.info12@gmail.com
Max Fit; Rue Kairouan ;Monastir;+216 95 15 29 05 ;maxfit.tn@gmail.com
Maximum Gym Nabeul;Rue Tarek Ibn Zied ;Nabeul;+216 52 82 88 60 ;zrellihichem10@gmail.com
maya DANCE CLUB;Rue du Requin, Hammam sousse ;Sousse;+216 58 930 242 ;null
Mayssef Gym;Derrière Il Forno, Sahloul ;Sousse;+216 93 13 20 09 ;null
Megagym sfax;Route Teniour km 6,5 devant collège Chihia ;Sfax;+216 95 54 39 34 ;farjallah07@yahoo.fr
Megrine Fight Club;Megrine ;Ben Arous;+216 51 82 21 73 ;null
MH Latin Dance Academy;22 rue abderahmen abdennebi Menzah 1 ;Tunis;+216 94 73 58 42 ;manelmarweni458@gmail.com
Mimer's Gym;Route Caied M'hamed km3 ;Sfax;+216 51 72 00 08 ;mimers.gym@gmail.com
Mine Sportive de Metlaoui;Stade Municipal de Métlaoui ;Métlaoui;+216 21 47 22 57 ;minesportivemetlaoui1970@gmail.com
Mini club Equus à Dar Chaabane Fehri ;Dar Chaabane El Fehri ;Nabeul;+216 94 65 37 11 ;null
MK Club;Menzah 9 ;Tunis;+216 70 86 93 72 ;null
Mon coach;Rue Farhat Hachad, Enfidha ;Sousse;+216 23 43 13 48 ;null
Monastir Cross Country;Avenue Hedi Nouira ;Monastir;+216 21 124 756 ;mfr.cyclistes@gmail.com
Mondial Foot academy;Centre ville , El Maamoura ;Nabeul;+216  20 23 30 98 / 58 98 31 17 ;null
Moto Club de Sousse;11 rue 3 Aout  ;Sousse;+216 23 44 96 96 ;razgallah.ahmed1@gmail.com
Moto club La Marsa;La Marsa ;Tunis;+216 98 31 84 10 ;null
Mouelhi Foot Academy;Jardin d'El Menzah 2 ;Ariana;+216 58 62 35 35 ;null
Mouihbi Football Academy;La marsa ;Tunis;+216 28 12 10 00 ;hajermouihbi@hotmail.fr
MOUNIR POWER CENTER;8 rue Youssef Rouissi El Manar II, El Menzah ;Tunis;+216 71 882 603 ;mounir.center@planet.tn
Mourouj Club;El Mourouj ;Ben Arous;+216 54 77 51 35 ;mourouj.club2018@gmail.com
Move U;Lamta ;Monastir;+216 73 55 55 55 ;null
Moving club;Route manzel cheker klm 9 ;Sfax;+216 74 42 38 75 ;moving.club2017@gmail.com
Moving Club;Ksour Essef ;Mahdia;null;null
Moving Club +;11 Route de Carthage Sidi Daoud la Marsa ;Ariana;+216 28 30 81 79 ;null
Moving fitness club;Route Manzel chaker KM 5,5 ;Sfax;+216 29 41 61 12 ;movingfitnessclub@hotmail.com
Msaken Tennis Club;Msaken ;Sousse;+216 73 31 27 00 ;null
Msaken Volley Ball;Msaken  ;Sousse;+216 29 70 39 00 ;chaker_ghezal@yahoo.fr
My Club Fitness;Rue Dar El Wafa Jardin d'El Menzah 2 ;Ariana;null;null
My Club Gym;Complexe Abdelaziz Ketatni, Ezzahra ;Ben Arous;+216 36 38 23 87 ;yalla@myclubgym.com
My Fitness;16 Rue Ibn Abi Dhiaf Z I Mégrine ;Ben Arous;+216 71 29 75 19 ;null
My Fitness - Fitness Club & SPA;75 Avenue Habib Bourguiba Mégrine ;Ben Arous;+216 71 29 64 61 ;null
My Gym;Petite Ariana ;Ariana;+216 74 86 93 12 ;null
My Gym Tunisia;Rue mohamed Mesrar Menzah 9 ;El Menzah;+216 98 474 843 – 70 865 274 ;tunisia@mygym.com
Myfirst Gym Sfax;Rue Kassas N° 4 entre route Manzel Cheker et route Elain ;Sfax;+216 25 02 30 52 / 95 07 70 38 ;myfirstgym@hotmail.com
Naila dance club;Akouda ;Ariana;+216 55 31 74 03 ;naila.danceclub@gmail.com
Nasr sportif Touza;Touza ;Monastir;+216 73 48 99 96 ;null
National Automobile Club de Tunisie;Bab Bhar ;Tunis;+216 71 241 176 ;null
Neapolis Football Académie;760 avenue du koweit, hammamet ;Nabeul;+216 55 60 76 16 ;bilelbensouda2018@gmail.com
New Gym TOUMI;Cité Jardins ;Sfax;+216 74 22 41 69 ;null
Nour Gym;Avenue 1 juin ;Monastir;+216 24 47 80 58 ;null
O CLUB; Hôtel Marhaba Palace ;Sousse;+216 73 34 85 30 ;oclubfitness.programmes@gmail.com
Oasis Sportive Chenini;Chenini ;Gabès;+216 75 22 94 14 ;oasis.sportive.chenini@gmail.com
OFA Beja;A côté du kiosque Oil Lybia, route de Jendouba ;Béja sud;+216 29 588 299 ;contact.beja@ooredoofootacademy.tn
OFA Monastir;Route de l'aéroport Habib Bourguiba, Jnen el west Skanes ;Monastir;+216 24 017 550 ;contact.monastir@ooredoofootacademy.tn
OFA Sousse;Lotissement Imen, Khzema ouest en face de Carrefour Market ;Sousse;+216 28 546 000 ;contact.sousse@ooredoofootacademy.tn
OFA Tunis;Rue 8810, passage chaplat, les Berges du Lac ;Tunis;+216 26 553 000 ;contact.tunis@ooredoofootacademy.tn
OLYMPIA GYM;Rue Moncef Bey, cité jawhara ;Sousse;+216 73 229 204 ;null
Olympia gym;Route benguerdenne ;Médenine;+216 21 87 92 43 ;null
Olympia Gym Mansoura;Mansoura ;Kairouan;+216 98 45 08 70 ;imedcheriftunisiatkd@yahoo.fr
Olympia Gym-OG;Rue Moncef Bey, Cité jawhara ;Sousse;+216 73 22 92 04 / 54 55 66 60 ;olympiaog1@gmail.com
Olympic GYM Gabés;La Corniche  ;Gabès;+216  21 81 79 89 ;null
OLYMPICA;Piscine Olympique Rades Cité National Sportif Rades, BP N°18 ;Ben Arous;+216 79 325 067 / 97 197 134 / 97 978 373 ;olympica.natation@gmail.com
Olympica Natation;@ ;Ezzahra;79325067 ;olympica.natation@gmail.com
Olympico Football Academie;Charles de gaulle ;La Marsa;+216 28 80 80 05 ;olympico.football@gmail.com
Olympico Stadium Academy;Rue des amendes ;Manouba;+216 21 02 33 00 ;khakorbi17@icloud.com
Olympique Amiret El Fehoul;Amiret El Fehoul ;Monastir;+216 20 58 17 43 ;null
Olympique Beni Khiar;Beni Khiar ;Nabeul;+216 24 90 70 74 ;null
Olympique de Béja;Stade Boujemaa Kmiti, cité olympique route de Tunis ;Béja;+216 78 45 83 08 ;officielob@gmail.com
Olympique de Gafsa;Salle couverte ;Gafsa;+216 76 20 27 85 ;ogafsi@outlook.fr
Olympique de Monastir;Salle Couverte, Mustafa Ben Jannet  ;Monastir;+216 73 50 04 08 ;chkir.adel@gmail.com
Olympique Haffouz;Haffouz  ;Kairouan;+216  96 06 03 26 ;null
Olympique Nasrallah Taekwondo;Nasrallah  ;Kairouan;+216 23 00 21 79 ;null
Olympique Sidi Abid;Sidi Abid ;Sfax;+216 21 13 83 88 ;null
Olympique Sportif Temimien;Menzel Temime ;Nabeul;+216 22 81 15 60 ;olympique.sportif.temimien@gmail.com
Olympysky Club;Lac 2 ;Tunis;+216 26 08 52 10/ 53 26 72 80 ;contact@olympysky.tn
OM School Tunis;Stade Chedly Zouiten, Avenue Jugurtha ;Tunis;+216  98 10 50 00 ;belhadjmed.kaouther@gmail.com
OMEGA +;Route Soukra klm 3.5 derrière ENIS ;Sfax;+216 51 70 80 99 ;issamomega@gmail.com
ONE GYM;Rue essafa et el marwah ;Sfax;+216 74 24 66 98 / 98 65 73 92/ 44 12 92 33 ;onegymsfax@gmail.com
Ooredoo Football Academy Sousse;Khezema Ouest à proximité de Carrefour Market ;Sousse;+216 73 27 78 26 ;dcs@khamsa-group.com
Orange Menzel Bouzelfa Handball;Menzel Bouzelfa ;Nabeul;+216 20 69 37 81 ;null
ORBAT GYM;Cité Ennour - Avenue de Palastine - En face du Lycée Privé Ibn Chabbat ;Gafsa;+216 97 066 704 ;contact@orbatgym.com
Organisation sportive Kabbaria;El Kabbaria ;Tunis;+216 97 42 46 47 ;null
Oussoud RADES;Radès ;Ben Arous;+216 98 90 92 44 ;adnengribaa@gmail.com
Overdose gym;Cité elworoud 1 ;Sidi Bouzid;+216 56 27 01 59 ;null
Oxygen Fitness Siliana;Rue Mongi Slim ;Siliana;+216 99 89 16 00 ;tarekabbas_karate@yahoo.fr
Oxygen Gym;Rue Ibn Aljazzar Cité Cherif ;Gafsa;+216 54 02 30 29 ;oxygengym.tn@gmail.com
OXYGENE;6, Rue Hannibal - Gammarth Supérieur ;La Marsa;+216 71 727 189 ;oxygenefitness@yahoo.fr
Oxygene fitness;Zone industrielle Khaireddine Lac III ;Tunis;+216 71 72 71 89 ;contact@oxygene-fitness.tn
"OXYGÉNE Fitness Club ""rabii Guèzih""";Centre ville ;Gafsa;+216 55 16 23 04 ;null
Oxygene fitness Gammarth;Rue Hannibal, La Marsa ;Tunis;+216 71 72 71 89 ;contact@oxygene-fitness.tn
Ozone Lady's Club;Ennasr ;Ariana;+216 21 30 34 80 ;null
Paintball Arena;Ain Turkia Sakiet Ezzit ;Sfax;+216 25 05 96 87 ;pb.arena.sfax@gmail.com
Paintball Djerba;Mezraya, Djerba Midoun ;Médenine;+216 21 44 53 98 ;Djerba@painball.tn
Paintball Park Monastir;Golf palm links ;Monastir;+216 26 99 27 89 ;null
PAINTBALL TUNISIE;4 Rue Med Ben Saad Impasse#1 ;Tunis;+216 71 87 30 80 / 55 44 34 06 / 50 50 68 66 ;info@paintballtunisie.com
PANDA GYM Teboulba;117 Avenue de la république Soukrine Teboulba ;Monastir;+216  25 17 47 28 ;null
PEPS;Ceinture Bourguiba de Route El'Ain vers Lafrane ;Sfax;+216 55 12 88 88 ;pepsfitness@gmail.com
PERF PLUS Gym;15 Rue Naplouse 2011 La Manouba ;Manouba;+216 71 60 66 03 ;null
Phare Sportif Gabès;Cité El Manara  ;Gabès;+216 29 19 15 65 ;manara.petanque@gmail.com
Phenicia gym;Route Gremda km 0,5 immeuble phenicia  ;Sfax;+216 50 30 47 22 ;null
Phenix Club; Route Lafrane km 4.5 au dessus de jouajem aiicha ;Sfax;+216 70 03 27 80 / 22 88 66 72 ;phenixclubsfax@gmail.com
Piscine olympique de Rades;Radés ;Ben Arous;+216 71 46 84 77 / 98 43 54 80 ;null
Planet Fitness Mahdia;Rue Ibn Roched ;Mahdia;+216 73 69 54 79 ;planetfitnessmahdia.2010@gmail.com
Planet Fitness Sousse;Rue Mongi Grira Sahloul 3 ;Sousse;+216 29 88 50 81 ;null
Plongée et Loisirs de Monastir;Houda hotel Dekhila ;Monastir;+216 53 68 75 11 ;aqua-dive@topnet.tn
Podium Dabboussi SPORT;Avenue el borhen el mourouj 5 ;Ben Arous;+216 22 35 59 44 ;null
Podium sport 2;El Mourouj 4 ;Ben Arous;+216 22 35 59 44 ;null
Pole Sportif Amiret El Fehoul;Amiret El Fehoul ;Monastir;+216 21 04 15 13 ;tab0147crt@yahoo.fr
Popeye club cité Olympique;Cité Olympique ;Tunis;+216 22 25 36 25 ;null
Power Academy;21, Rue des mathématiques charguia 1 ;Tunis;+216 56 09 69 69  ;power.academy.tunisia@gmail.com
Power fit gym ;Immeuble Rchid Bziwech, Sahloul ;Sousse;+216 93 56 65 62 ;null
Power Fitness Club;4 Rue le Rossignol  ;Manouba;+216 27 87 20 70 ;refka.chaouachi@yahoo.fr
Power Fitness Club Manaret;Avenue Moncef Bey ;Nabeul;+216 55 72 27 67 ;null
Power fitness club mellita;Mellita djerba ;Médenine;+216 23 01 65 82 ;null
Power Gym;El Menchya, Hammam Sousse ;Sousse;+216 97 22 33 01 ;null
PowerHouse GYM;Bab Jdid ;Tunis;+216 71 26 06 75 ;null
Premium sports club;LOTISSEMENT AFH AIN ZAGHOUENE NORD Cité El Mhiri, La Marsa ;Tunis;+216 53 525 612 ;premiumsportsclub@gmail.com
Pro Gym;Avenue de l'environnement, Messadine  ;Sousse;+216 23 07 06 56 ;null
PROFIT CLUB;10 Rue Jebal Chàambi 1ér étage ;Ariana;+216 50 987 988 ;contact@profitclubtunisie.com
Pyramid Fitness;118 Avenue Ibn khaldoun Riadh el Andalous ;Ariana;+216 55 53 49 00 ;null
Pyramide SPORT;Avenue de la liberté, Boumhel ;Ben Arous;+216 29 36 47 77 ;null
Radogym;El Manar ;Tunis;+216 53 03 45 69 ;null
Raptor Team;Mairie d'El Fahs ;Bir Mecharga;+216 97 36 58 86 ;raptorteamzaghouan@gmail.com
Raquette d'Or Bizertine;Salle de tennis de table municipale ;Bizerte;+216 26 89 72 49 ;raquette.or.bizertine@gmail.com
Raquette d'Or Kalaa Sghira ;Kalaa Sghira ;Sousse;+216 97 22 71 21 ;equiperoks@gmail.com
Red Square;1 Rue de L'Astre Bardo ;Tunis;+216 71 58 35 17 ;redsquaretunisia@gmail.com
Red Star Sousse;Centre Ville ;Sousse;+216 53 44 19 81 ;redstarofsousse@gmail.com
Référence Club Hammam Lif;19 Rue Jandouba Cité Mohamed Ali, Hammam-lif ;Ben Arous;+216 55 51 85 21 ;karimmiskini4@gmail.com
Refresh Fitness Center;Cité Nadhour 2 ;Ksibet Medyouni;+216 73 44 59 00 ;null
ROYAL CLUB;Avenue Hedi Chaker ;Manouba;+216 58 19 81 92 ;ahmedchehbi39@gmail.com
Royal Fitness;10 Rue Ahmed Ibn Nasr Cité Ettahrir ;Tunis;+216 53 82 27 22 ;royalfitnessettahrir@gmail.com
Rugby Club Hrairia;Hrairia ;Tunis;+216 53 30 22 81 ;rugbyclub.harairia@gmail.com
Rugby Club In Sousse;Cité Aouina ;Sousse;+216 54 25 73 82 ;null
Rugby Club Jasmins Nabeul;Stade Municipal de Nabeul ;Nabeul;+216 98 82 95 14 ;rugbyclubjasmins@yahoo.com
Rugby Club Nefza;Nefza ;Béja;+216  97 69 37 56 ;rugbynefza@yahoo.fr
Rugby Club Nord Menzel Bourguiba;Menzel Bourguiba ;Bizerte;+216 98 27 32 39 ;bensaidboulbaba@yahoo.fr
Run In Mahdia;Rond-point l'Espadon ;Mahdia;+216 98 91 39 35 ;runinmahdia@gmail.com
Run In Monastir;Plage la Falaise ;Monastir;runinmonstir@gmail.com;null
Running Club La Marsa;La Marsa ;Tunis;runningclubmarsa@gmail.com;null
Ruspina sport ;Cité El Omran ;Monastir;+216 50 75 50 07 ;null
S-Factory;Avenue du 14 janvier 2011 (route de Khniss), près de la foire ;Monastir;+216 31 19 79 97 ;sfactorymonastir@gmail.com
Salle de sport Fit & Fun;Rue Salem Bchir- Derrière la gare ;Monastir;+216 22 91 83 55 ;null
Salle de Sport KENZA;Avenue 20 mars, Naassen ;Ben Arous;+216 26 37 89 15 ;null
Salle de sport Rihab Panda;Rue de Nelson Mandella ;Tunis;+216 24 22 01 93 ;null
Salle Extreme Sport ;10 Rue Remada El Mourouj ;Ben Arous;+216 98 24 50 20 ;wissem_b@hotmail.com
Salle Megrine Sport;Megrine ;Ben Arous;+216 22 63 77 68 ;null
Salma Evasion Quad;Bir Lobita 8057 Yasmine Hammamet ;Hammamet;+216 96 98 15 70 / 97 97 49 22 ;null
Sam Club;Avenue Hbib Bourghuiba ;Ben Arous;+216 22 22 72 89 ;berraiansami@gmail.com
Sami Fitness;Rue de Jordanie, Hammam Sousse ;Sousse;+216 24 70 24 31 ;null
Samurai club;Avenue des martyrs centre El Morgene 1er etage bloc A, El Mourouj ;Ben Arous;+216 71 47 69 31 ;null
Samurai Club La Marsa;La Marsa ;Tunis;+216  98 56 10 55 ;medali.auouadi2019@gmail.com
Samurai Nouvelle Medina 3;Rue du Caire Nouvelle Medina 3 ;Ben Arous;+216 29 80 64 54 ;null
Sarah Fitness;Avenue de la république Maxula-Radès ;Ben Arous;+216 70 31 59 14 ;sarah_fitness_rades@yahoo.fr
SFAX RELAX;Avenue Hedi Cheker ;Sakiet Ezzit;+216 74 859 704 / 24 510 002 ;badreddine.sfaxrelax@gmail.com
Shaolin Budo Center;El Ghazala ;Ariana;+216 99 21 81 05 ;rezgui_kamel@yahoo.fr
Shino Ronin Academy - Tunisia;Carthage ;Tunis;+216 54 05 03 00 ;freeman121214@gmail.com
SkyBox Gym;Avenue des Nations-Unis route de Tunis  ;Kairouan;+216 21 10 15 48 ;skyboxgym@gmail.com
Slim Fit;Rue des îles de Rhodes immeuble ATRIUM Lac 2 ;Tunis;+216 23 23 08 02 ;slimfitlac2@gmail.com
Slim Fit;Rue des îles de Rhodes, immeuble ATRIUM Lac 2 ;Tunis;+216 23 23 08 02 ;slimfitlac2@gmail.com
Smart Gym;110, Avenue de l'UMA ;Ariana;+216 70 69 32 33 ;contact@smartgym.tn
Smile Handball;Complexe sportif de l'OMMP, salle couverte MANAR 1 ;Tunis;+216 29 75 07 11 ;zied.handball.academy@gmail.com
SOFIT Club;Parc urbain Ennahli ;Ariana;+216 23 15 26 57 ;sofit.sta@gmail.com
Solide Sport Megrine;291 Avenue Farhat Hached Mégrine Sidi rezig, Megrine ;Ben Arous;+216 22 79 80 33 ;null
Song Moo Kwan Tunisie;Rue bohira cité hôpital bousalrm, Bou Salem ;Jendouba;+216 52 25 46 68 ;null
SOUSSE BIKE CLUB;El Kantaoui  - Hammam Sousse ;Sousse;+216 50 40 29 48 ;soussevtt@gmail.com
Sousse Football Academy;El Padrino ;Hammam sousse;+216 97 00 00 45 ;sousse.football.academy@gmail.com
Sousse Motorsport Club;Jawhara Oued kharoub (AG MOTORS) garage ;Sousse;soussemotorsportclub@gmail.com;null
Sparta Club;94 Avenue Farhat Hached, Ezzahra ;Ben Arous;+216 53 68 67 86 ;sparta.club.tn@gmail.com
Sport Factory;Entre le restaurant le Prestige et la boutique Orange ;Hammamet;+216 54 38 82 66 ;sportsfactory.hammamet@gmail.com
Sport Nautique Bizertin;Blvd Habib Bougatfa ;Bizerte;+216 98 32 43 10 ;snbizertin@gmail.com
Sport Nautique Menzel Abderrahmen;Menzel Abderahmane ;Bizerte;+216 92 99 46 11 ;null
Sport Plus;Route de l'aéroport km 3 ;Sfax;+216 21 67 26 06 ;admin@club-sport-plus.com
Sporting CLUB;Boumhal el Bassatine ;Ben Arous;+216 56 30 54 15 ;null
Sporting Club Bellevue;Bellevue ;Tunis;+216 98 57 45 56 ;null
Sporting Club Ben Arous;Stade municipal ;Ben Arous;+216 71 38 71 23 ;null
Sporting Monastir basket-ball;Cité Souani ;Monastir;null;null
Sporting Sidi Hassine;Sidi Houssine ;Tunis;+216 54 46 66 63 ;null
Sportissimo;Ceinture n°11 route de gabes le rond point avant le nouveau hopital chinois ;Sfax;+216 23 44 54 45 ;null
Staali Family Club;Ras Jebel ;Bizerte;+216 27 77 98 73 ;null
Stade Nabeulien;Stade Municipal de Nabeul ;Nabeul;+216 53 10 61 62 ;null
Stade Soussien;Avenue Mohamed Maarouf ;Sousse;+216 73 23 43 93 ;st.soussien@gmail.com
Stade Sportif Chrarda ;Cherarda  ;Kairouan;+216 97 45 02 25 ;null
Stade Sportif Gafsien;Stade Mohammed-Gammoudi ;Gafsa;+216 96 70 00 25 ;s.s.gafsien@gmail.com
Stade Sportif Sfaxien ;Stade de la Cité El Habib ;Sfax;+216 27 26 21 00 ;null
Stade Sportif Temimien ;Menzel Temime ;Nabeul;+216 58 43 35 41 ;null
Stade Tunisien;Stade Hédi Enneifer Le Bardo ;Tunis;+216 71 58 52 22 ;contact@stadetunisien48.com
Stade Zaghouanais;5. Rue Ahmed Mbarek ;Zaghouan;+216 72682809 ;stadezaghouanis@gmail.com
STAR SPORT ACADEMY;Avenue MOHAMED V Zone Industriel la Goulette Kram ;Tunis;+216 29 082 082 ;starsportacademy.tn@gmail.com
Street defense System Self defense;18 Avenue de Lyon  ;Tunis;+216 53 61 61 30 ;dhaouibs@gmail.com
SVELTESSE CENTER;Complex Jamel 2eme étage - Mourouj1 ;Mourouj;+216 79 35 75 55 / 21 90 53 53 / 97 51 43 41 ;sveltessecenter@yahoo.fr
Swedish Gym;3 Rue Ibn Nafis, Z.I. Kheireddine, La Goulette ;Tunis;+216 22 33 55 99 ;contact@swedish-gym.com
Syphax PAINTBALL;Caied Mhamed ;Sfax;+216 20 350 029 ;syphaxpaintball@gmail.com
Taekwondo académie ;Centre ville ;Gabès;+216 97 64 66 65 ;null
Taroura Arena;Route de ceinture près de Jemaa Mekki, Jemmel  ;Monastir;+216 98 58 83 37 ;null
Tchika gym;Rue 18 Janvier ;Béja;+216 55 85 38 86 ;null
Techno sport;Résidence Oméga Center bloc C 7éme étage bureau C28, Rue de la feuille d'érable Lac 2 ;Ariana;+216 24 99 09 09 ;null
tej tonic;Bvd de l'Environnement Gammarth ;La Marsa;+216 71 916 917 ;null
Tej-Gym;Cité des jeunes devant café devant foyer mirawi ;Gafsa;+216  22 43 44 45 ;tejayoub@gmail.com
Temps Danse;Avenue de Carthage ;Tunis;+216 27 10 21 90 ;null
Tennis - Club de Monastir;BP 185 Monastir république ;Monastir;+216 73 462 320 ;tennisclubmonastir@planet.tn
Tennis Club Akouda (T.C.AK);@ ;Akouda;+216  73 810 059 / 21 482 345 ;tennis.akouda@hotmail.fr
Tennis Club Ariana;Rue Ibn Mondhour Residence Ettouyour bloc Koutaf 1 APP A5 ;Ariana;+216 98 54 22 35 ;coachsamir@voila.fr
Tennis Club de Bizerte;Les jardins de la municipalité ;Bizerte;+216 58 12 30 00 ;tennis@tcbizerte.tn
TENNIS CLUB DE CARTHAGE;Tennis Club De Carthage	Avenue de La République ;Carthage;+216 71 277 313 ;contact@tcc.org.tn
Tennis Club de Kairouan;Avenue de Fès ;Kairouan Sud;+216 77 23 25 10 ;tckairouan@yahoo.fr
Tennis Club de Kelibia;Kélibia ;Nabeul;+216 72 27 56 62 ;tckelibia@yahoo.fr
Tennis Club de Mégrine;5, Rue Monhi Bali, Megrine ;Ben Arous;+216 71 43 23 50 ;tcmg2022@gmail.com
Tennis Club De Msaken;98299263 ;Msaken;tennismsaken@gmail.com;null
Tennis Club de Sayada; Avenue de l'Environnement, Bayech  ;Sayada Lamta Bouhjar;+216 55 95 77 74 ;tennisclubsayada@gmail.com
Tennis Club de Sfax; Route de l’Aéroport km 3,5 ;Sfax sud;+216 22 815 381 ;tennisclubdesfax@tunet.tn
Tennis club de tajerouine;Tejerouine  ;Kef;+216 22 59 10 73 ;null
TENNIS CLUB DE TUNIS (TCT);20 Avenue Alain Savary ;Tunis;+216 71 287 379 / 71 894 487 ;tennisclubtunis@topnet.tn
Tennis Club du Sahel ;Boulevard du 14 Janvier ;Sousse;+216 73 27 48 88 ;tennisclubsahel@gmail.com
Tennis Club Hammam-Sousse (T.C.H.S);Rue Hammam Sousse ;Sousse;+216 73 365 559 ;tennisclub.hs@gmail.com
Tennis Club Hammamet;Hammamet ;Nabeul;+216 52 56 03 25 ;t.c.hammamet@tch.org.tn
Tennis Club Jemmel;Jemmel ;Monastir;+216 95 48 61 11 ;null
Tennis Club Les Trières de Nabeul;Av. Mongi Slim ;Nabeul;+216 72 23 16 89 / 98 40 77 21 ;null
Tennis Club Mahdia;Hiboun ;Mahdia;+216 24 60 52 85 ;null
TENNIS CLUB SFAX - T.C.S;Route de l’Aéroport km 3,5 ;Sfax;+216 74 243 299 / 20 840 616 ;tennisclubdesfax@tunet.tn
Tennis Club Soukra;Borj louzir soukra ;Ariana;+216 28 38 94 89 ;null
Tennis Club Sousse;Rue des Catacombes ;Sousse;+216 73 33 48 02 ;tcs@topnet.tn
The Crew Base;10 Rue Essahel  ;Ben Arous;+216 24 26 50 11 ;baseofthecrew@gmail.com
THE Little gim;3 avenue Ebn Zuhr, La Goulette ;Tunis;+216 29 360 900 / 53 360 977 ;tlgtunis@thelittlegym.com
